entity_name,label_name,label
Aachener Nachrichten,Medien,0
MEF - Mittel Erzgebirgs Fernsehen,Medien,0
MEGA 80´s (Sachsen),Medien,0
meinTVshop,Medien,0
mephisto 97.6,Medien,0
NDR 2,Medien,0
NDR 1 Welle Nord,Medien,0
NDR 1 Radio MV,Medien,0
NDR 1 Niedersachsen,Medien,0
National Geographic Wild Channel (NAT GEO WILD),Medien,0
National Geographic Channel,Medien,0
Nasche Ljubimoe Kino,Medien,0
Nasch Kinomir,Medien,0
N24 Doku,Medien,0
MyTVplus,Medien,0
MyTeam TV - Fußball,Medien,0
LAUSITZWELLE Fernsehen,Medien,0
MyTeam TV - Eishockey,Medien,0
LEIPZIG eins,Medien,0
LILO TV,Medien,0
MC EU,Medien,0
MAXX FM,Medien,0
Massage TV,Medien,0
Marienberg TV,Medien,0
Marco Polo,Medien,0
M94.5 (TV-Livestream),Medien,0
LVZ TV,Medien,0
LUST PUR,Medien,0
Lunzenauer Kabelzeitung,Medien,0
lulu.fm (Sachsen),Medien,0
lulu.fm (Hessen),Medien,0
lulu.fm (Hamburg),Medien,0
lulu.fm,Medien,0
LTV - Lausitz TV,Medien,0
lounge plus – chillout radio,Medien,0
Leipziger Internet Zeitung - www.l-iz.de,Medien,0
MyTeam TV - Basketball,Medien,0
MyManou,Medien,0
Lausitzwelle (Brandenburg),Medien,0
JOKE FM,Medien,0
JenaTV,Medien,0
JazzRadio 106.8 (Berlin),Medien,0
JAM FM,Medien,0
Isarrunde/Spreerunde,Medien,0
IRTV,Medien,0
InPulz Dein Stadtradio für Freiberg,Medien,0
Inforadio,Medien,0
Infokanal Ottendorf-Okrilla,Medien,0
Infokanal Eibau,Medien,0
Infokanal Crimmitschau,Medien,0
Infokanal Bad Wilsnack,Medien,0
Ilmenauer Studentenfernsehfunk (iSTUFF),Medien,0
Joyn Primetime,Medien,0
HYPERRAUM.TV,Medien,0
Joy-Music-Video,Medien,0
Lagardère Sports,Medien,0
LandesWelle Thüringen,Medien,0
Latizón TV,Medien,0
MV1,Medien,0
Muldental TV,Medien,0
MTV Brand New,Medien,0
MTV,Medien,0
MotorVision TV,Medien,0
Motors TV,Medien,0
mothergrid.de,Medien,0
MDF.1 Fernsehen,Medien,0
Mosel TV,Medien,0
MonA TV ,Medien,0
Mittelsachsen TV,Medien,0
Metropolregion.tv,Medien,0
METROPOL FM (Hessen),Medien,0
METROPOL FM (Berlin),Medien,0
METROPOL FM,Medien,0
MUXX.tv,Medien,0
MontanaBlack88,Medien,0
MDR Aktuell,Medien,0
MDR Fernsehen,Medien,0
MDR JUMP,Medien,0
Einbecker Morgenpost,Medien,0
Eifeler Zeitung,Medien,0
Eifeler Nachrichten,Medien,0
Eichstätter Kurier,Medien,0
Eichsfelder Tageblatt,Medien,0
Eckernförder Zeitung,Medien,0
Ebersberger Zeitung,Medien,0
Eberbacher Zeitung,Medien,0
Dürener Zeitung,Medien,0
Dülmener Zeitung,Medien,0
Ems-Zeitung,Medien,0
Grafenauer Anzeiger,Medien,0
Frankfurter Allgemeine Sonntagszeitung,Medien,0
Frankfurter Neue Presse,Medien,0
Goslarsche Zeitung,Medien,0
Elbe-Jeetzel-Zeitung,Medien,0
Elmshorner Nachrichten,Medien,0
Emder Zeitung,Medien,0
Emsdettener Volkszeitung,Medien,0
Flörsheimer Zeitung,Medien,0
Flensburger Tageblatt,Medien,0
Flensborg Avis,Medien,0
Fläming Echo,Medien,0
Fellbacher Zeitung,Medien,0
Fehmarnsches Tageblatt/Heiligenhafener Post,Medien,0
Express Köln,Medien,0
Gmünder Tagespost,Medien,0
Express Düsseldorf,Medien,0
Espelkamper Zeitung,Medien,0
Eschweiler Zeitung,Medien,0
Eschweiler Nachrichten,Medien,0
Erlanger Nachrichten,Medien,0
Erdinger Anzeiger,Medien,0
Frankenpost,Medien,0
Eppsteiner Zeitung,Medien,0
Eßlinger Zeitung,Medien,0
HSE24 Extra,Medien,0
Glückstädter Fortuna,Medien,0
Gießener Anzeiger,Medien,0
Fränkischer Tag,Medien,0
Fränkischer Anzeiger,Medien,0
Fränkische Nachrichten,Medien,0
Fränkische Landeszeitung,Medien,0
Frankfurter Rundschau,Medien,0
Fürther Nachrichten,Medien,0
Vilsbiburger Zeitung,Medien,0
Rhein-Neckar-Zeitung,Medien,0
Vlothoer Zeitung,Medien,0
MDR THÜRINGEN - Das Radio,Medien,0
MDR SPUTNIK,Medien,0
Vilshofener Anzeiger,Medien,0
MDR SACHSEN - Das Sachsenradio,Medien,0
MDR Kultur,Medien,0
MDR KLASSIK,Medien,0
Freie Presse,Medien,0
Freies Wort,Medien,0
Freilassinger Anzeiger,Medien,0
Freisinger Tagblatt,Medien,0
Gießener Allgemeine,Medien,0
Geseker Zeitung,Medien,0
General-Anzeiger Rhauderfehn,Medien,0
General-Anzeiger,Medien,0
Gelnhäuser Neue Zeitung,Medien,0
Geislinger Zeitung,Medien,0
Geilenkirchener Zeitung,Medien,0
Gifhorner Rundschau,Medien,0
Gäubote,Medien,0
Frankfurter Allgemeine Zeitung,Medien,0
Gandersheimer Kreisblatt,Medien,0
Fürstenfeldbrucker Tagblatt,Medien,0
Fuldaer Zeitung,Medien,0
Friesisches Tageblatt,Medien,0
Friedberger Allgemeine,Medien,0
Freitags-Anzeiger,Medien,0
