entity_name,label_name,label
Abgeordnete,Politiker,4
Abgeordneten,Politiker,4
Abgeordneter,Politiker,4
Staatssekretär,Politiker,4
Staatssekretärs,Politiker,4
Staatssekretärin,Politiker,4
Staatsminister,Politiker,4
Staatsministers,Politiker,4
Staatsministerin,Politiker,4
Bundesverkehrsminister,Politiker,4
Bundesverkehrsministers,Politiker,4
Bundesverkehrsministerin,Politiker,4
Verkehrsminister,Politiker,4
Verkehrsministers,Politiker,4
Verkehrsministerin,Politiker,4
Stadträtin,Politiker,4
Stadtrat,Politiker,4
Stadtrats,Politiker,4
Sportminister,Politiker,4
Sportministers,Politiker,4
Sportministerin,Politiker,4
Kreistagsabgeordneter,Politiker,4
Kreistagsabgeordnete,Politiker,4
Kreistagsabgeordneten,Politiker,4
Bundesfinanzminister,Politiker,4
Bundesfinanzministers,Politiker,4
Bundesfinanzministerin,Politiker,4
Finanzminister,Politiker,4
Finanzministers,Politiker,4
Finanzministerin,Politiker,4
Arbeitsminister,Politiker,4
Arbeitsministers,Politiker,4
Arbeitsministerin,Politiker,4
Bundesarbeitsminister,Politiker,4
Bundesarbeitsministers,Politiker,4
Bundesarbeitsministerin,Politiker,4
Wirtschaftsminister,Politiker,4
Wirtschaftsministers,Politiker,4
Wirtschaftsministerin,Politiker,4
Bundeswirtschaftsminister,Politiker,4
Bundeswirtschaftsministers,Politiker,4
Bundeswirtschaftsministerin,Politiker,4
Kommunalpolitiker,Politiker,4
Kommunalpolitikers,Politiker,4
Kommunalpolitikerin,Politiker,4
Sozialminister,Politiker,4
Sozialministers,Politiker,4
Sozialministerin,Politiker,4
Stadtverordneter,Politiker,4
Stadtverordnete,Politiker,4
Stadtverordneten,Politiker,4
Landesvorsitzender,Politiker,4
Landesvorsitzende,Politiker,4
Landesvorsitzenden,Politiker,4
Justizminister,Politiker,4
Justizministers,Politiker,4
Justizministerin,Politiker,4
Oberbürgermeister,Politiker,4
Oberbürgermeisters,Politiker,4
Oberbürgermeisterin,Politiker,4
Europaabgeordneter,Politiker,4
Europaabgeordnete,Politiker,4
Europaabgeordneten,Politiker,4
Generalsekretär,Politiker,4
Generalsekretärs,Politiker,4
Generalsekretärin,Politiker,4
Kreisbeigeordneter,Politiker,4
Kreisbeigeordnete,Politiker,4
Kreisbeigeordneten,Politiker,4
Bundestagsvizepräsident,Politiker,4
Bundestagsvizepräsidents,Politiker,4
Bundestagsvizepräsidentin,Politiker,4
Landtagsabgeordneter,Politiker,4
Landtagsabgeordnete,Politiker,4
Bezirksrat,Politiker,4
Bezirksrätin,Politiker,4
Außenminister,Politiker,4
Außenministerin,Politiker,4
Landtagsvizepräsident,Politiker,4
Landtagsvizepräsidentin,Politiker,4
Ministerpräsident,Politiker,4
Ministerpräsidenten,Politiker,4
Ministerpräsidentin,Politiker,4
Parteivorsitzender,Politiker,4
Parteivorsitzende,Politiker,4
Gemeindeausschussvorsitzender,Politiker,4
Gemeindeausschussvorsitzende,Politiker,4
Bundesgesundheitsminister,Politiker,4
Bundesgesundheitsministerin,Politiker,4
Gesundheitsministers,Politiker,4
Gesundheitsminister,Politiker,4
Gesundheitsministerin,Politiker,4
Ortsvorsteher,Politiker,4
Ortsvorstehers,Politiker,4
Ortsvorsteherin,Politiker,4
Landrat,Politiker,4
Landrätin,Politiker,4
Bundestagsabgeordneter,Politiker,4
Bundestagsabgeordnete,Politiker,4
Senatspräsident,Politiker,4
Senatspräsidents,Politiker,4
Senatspräsidentin,Politiker,4
Innenminister,Politiker,4
Innenministers,Politiker,4
Innenministerin,Politiker,4
Bundesinnenminister,Politiker,4
Bundesinnenministers,Politiker,4
Bundesinnenministerin,Politiker,4
Bürgermeister,Politiker,4
Bürgermeisters,Politiker,4
Bürgermeisterin,Politiker,4
Umweltminister,Politiker,4
Umweltministers,Politiker,4
Umweltministerin,Politiker,4
Bundesumweltminister,Politiker,4
Bundesumweltministers,Politiker,4
Bundesumweltministerin,Politiker,4
Bundesratsvorsitzender,Politiker,4
Bundesratsvorsitzende,Politiker,4
Kreisrat,Politiker,4
Kreisrätin,Politiker,4
Kreistagsmitglied,Politiker,4
Familienminister,Politiker,4
Familienministers,Politiker,4
Familienministerin,Politiker,4
Bundesfamilienminister,Politiker,4
Bundesfamilienministers,Politiker,4
Bundesfamilienministerin,Politiker,4
Stadtverordnetenvorsteher,Politiker,4
Stadtverordnetenvorsteherin,Politiker,4
Kreisausschussvorsitzender,Politiker,4
Kreisausschussvorsitzende,Politiker,4
Ortsbürgermeister,Politiker,4
Ortsbürgermeisterin,Politiker,4
Bildungsminister,Politiker,4
Bildungsministerin,Politiker,4
Bezirksbürgermeister,Politiker,4
Bezirksbürgermeisters,Politiker,4
Bezirksbürgermeisterin,Politiker,4
Parlamentspräsident,Politiker,4
Parlamentspräsidentin,Politiker,4
Kultusminister,Politiker,4
Kultusministers,Politiker,4
Kultusministerin,Politiker,4
Landtagspräsident,Politiker,4
Landtagspräsidenten,Politiker,4
Landtagspräsidentin,Politiker,4
Bundespräsident,Politiker,4
Bundespräsidenten,Politiker,4
Bundespräsidentin,Politiker,4
Wissenschaftsminister,Politiker,4
Wissenschaftsministerin,Politiker,4
Bundesratspräsident,Politiker,4
Bundesratspräsidentin,Politiker,4
Bundeskanzlers,Politiker,4
Bundeskanzler,Politiker,4
Bundeskanzlerin,Politiker,4
Bundestagspräsident,Politiker,4
Bundestagspräsidentin,Politiker,4
Fraktionsvorsitzender,Politiker,4
Fraktionsvorsitzende,Politiker,4
Regierungspräsident,Politiker,4
Regierungspräsidentin,Politiker,4
Kulturminister,Politiker,4
Kulturministerin,Politiker,4
Kreistagsvorsitzender,Politiker,4
Kreistagsvorsitzende,Politiker,4
Gemeindevertreter,Politiker,4
Gemeindevertreterin,Politiker,4
Gemeinderat,Politiker,4
Gemeinderätin,Politiker,4
Landwirtschaftsminister,Politiker,4
Landwirtschaftsministerin,Politiker,4
Verteidigungsminister,Politiker,4
Verteidigungsministerin,Politiker,4
Gemeindevorstand,Politiker,4
Gemeindevorstandsmitglied,Politiker,4
Staatssekretärs,Politiker,4
Staatsministers,Politiker,4
Verkehrsministers,Politiker,4
Stadtrats,Politiker,4
Sportministers,Politiker,4
Kreistagsabgeordneten,Politiker,4
Finanzministers,Politiker,4
Arbeitsministers,Politiker,4
Wirtschaftsministers,Politiker,4
Kommunalpolitikers,Politiker,4
Sozialministers,Politiker,4
Stadtverordnetens,Politiker,4
Stadtverordneten,Politiker,4
Landesvorsitzenden,Politiker,4
Justizministers,Politiker,4
Oberbürgermeisters,Politiker,4
Europaabgeordneten,Politiker,4
Generalsekretärs,Politiker,4
Kreisbeigeordneten,Politiker,4
Bundestagsvizepräsidenten,Politiker,4
Landtagsabgeordneten,Politiker,4
Bezirksrats,Politiker,4
Außenministers,Politiker,4
Landtagsvizepräsidenten,Politiker,4
Ministerpräsidenten,Politiker,4
Parteivorsitzenden,Politiker,4
Gemeindeausschussvorsitzenden,Politiker,4
Gesundheitsministers,Politiker,4
Ortsvorsteher,Politiker,4
Ortsvorstehers,Politiker,4
Landrats,Politiker,4
Bundestagsabgeordneten,Politiker,4
Senatspräsidenten,Politiker,4
Innenministers,Politiker,4
Bürgermeisters,Politiker,4
Umweltministers,Politiker,4
Bundesratsvorsitzenden,Politiker,4
Kreisrats,Politiker,4
Kreistagsmitglieds,Politiker,4
Familienministers,Politiker,4
Stadtverordnetenvorstehers,Politiker,4
Kreisausschussvorsitzenden,Politiker,4
Ortsbürgermeisters,Politiker,4
Bildungsministers,Politiker,4
Bezirksbürgermeisters,Politiker,4
Parlamentspräsidenten,Politiker,4
Kultusministers,Politiker,4
Landtagspräsidenten,Politiker,4
Wissenschaftsministers,Politiker,4
Bundesratspräsidenten,Politiker,4
Bundeskanzlers,Politiker,4
Bundestagspräsidenten,Politiker,4
Fraktionsvorsitzenden,Politiker,4
Regierungspräsidenten,Politiker,4
Kulturministers,Politiker,4
Kreistagsvorsitzenden,Politiker,4
Gemeindevertreters,Politiker,4
Gemeinderats,Politiker,4
Landwirtschaftsministers,Politiker,4
Verteidigungsministers,Politiker,4
Gemeindevorstands,Politiker,4
Gemeindevorstandsmitglieds,Politiker,4
Gesundheitssenators,Politiker,4
Finanzsenators,Politiker,4
Forschungssenators,Politiker,4
Sozialsenator,Politiker,4
Kultursenatorin,Politiker,4
Innensenator,Politiker,4
Umweltsenator,Politiker,4
Innensenators,Politiker,4
Verkehrssenators,Politiker,4
Umweltsenators,Politiker,4
Verkehrssenatorin,Politiker,4
Stadtentwicklungssenators,Politiker,4
Bildungssenators,Politiker,4
