precision,recall,f1,number,category,fold,epoch,label_type,data_sample,model_type,accuracy,steps
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.1,InDomain,v5,Base,,0
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.2,InDomain,v5,Base,,1
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.3,InDomain,v5,Base,,2
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.4,InDomain,v5,Base,,3
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.5,InDomain,v5,Base,,4
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.6,InDomain,v5,Base,,5
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.7,InDomain,v5,Base,,6
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.8,InDomain,v5,Base,,7
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.9,InDomain,v5,Base,,8
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.0,InDomain,v5,Base,,9
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.1,InDomain,v5,Base,,10
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.2,InDomain,v5,Base,,11
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.3,InDomain,v5,Base,,12
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.4,InDomain,v5,Base,,13
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.5,InDomain,v5,Base,,14
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.6,InDomain,v5,Base,,15
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.7,InDomain,v5,Base,,16
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.8,InDomain,v5,Base,,17
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.9,InDomain,v5,Base,,18
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.0,InDomain,v5,Base,,19
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.1,InDomain,v5,Base,,20
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.2,InDomain,v5,Base,,21
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.3,InDomain,v5,Base,,22
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.4,InDomain,v5,Base,,23
