precision,recall,f1,number,category,fold,epoch,label_type,data_sample,model_type,accuracy,steps
0.0,0.0,0.0,8.0,BEHÖRDE,0,0.1,InDomain,v5,Large,,0
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.2,InDomain,v5,Large,,1
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.3,InDomain,v5,Large,,2
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.4,InDomain,v5,Large,,3
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.5,InDomain,v5,Large,,4
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.6,InDomain,v5,Large,,5
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.7,InDomain,v5,Large,,6
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.8,InDomain,v5,Large,,7
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.9,InDomain,v5,Large,,8
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.0,InDomain,v5,Large,,9
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.1,InDomain,v5,Large,,10
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.2,InDomain,v5,Large,,11
0.0,0.0,0.0,1.0,BEHÖRDE,0,1.3,InDomain,v5,Large,,12
0.05084745762711865,0.08108108108108109,0.0625,37.0,BEHÖRDE,0,1.4,InDomain,v5,Large,,13
0.03389830508474576,0.07407407407407407,0.046511627906976744,27.0,BEHÖRDE,0,1.5,InDomain,v5,Large,,14
0.0847457627118644,0.11904761904761904,0.09900990099009901,42.0,BEHÖRDE,0,1.6,InDomain,v5,Large,,15
0.3898305084745763,0.359375,0.37398373983739835,64.0,BEHÖRDE,0,1.7,InDomain,v5,Large,,16
0.4067796610169492,0.34782608695652173,0.375,69.0,BEHÖRDE,0,1.8,InDomain,v5,Large,,17
0.3389830508474576,0.3508771929824561,0.3448275862068965,57.0,BEHÖRDE,0,1.9,InDomain,v5,Large,,18
0.1694915254237288,0.19607843137254902,0.18181818181818182,51.0,BEHÖRDE,0,2.0,InDomain,v5,Large,,19
0.3050847457627119,0.27692307692307694,0.29032258064516137,65.0,BEHÖRDE,0,2.1,InDomain,v5,Large,,20
0.1864406779661017,0.18333333333333332,0.18487394957983194,60.0,BEHÖRDE,0,2.2,InDomain,v5,Large,,21
0.4745762711864407,0.32941176470588235,0.3888888888888889,85.0,BEHÖRDE,0,2.3,InDomain,v5,Large,,22
0.3389830508474576,0.2898550724637681,0.31250000000000006,69.0,BEHÖRDE,0,2.4,InDomain,v5,Large,,23
0.2033898305084746,0.21428571428571427,0.20869565217391306,56.0,BEHÖRDE,0,2.5,InDomain,v5,Large,,24
0.23728813559322035,0.2641509433962264,0.25,53.0,BEHÖRDE,0,2.6,InDomain,v5,Large,,25
0.3389830508474576,0.3076923076923077,0.3225806451612903,65.0,BEHÖRDE,0,2.7,InDomain,v5,Large,,26
0.4067796610169492,0.34782608695652173,0.375,69.0,BEHÖRDE,0,2.8,InDomain,v5,Large,,27
0.5254237288135594,0.36046511627906974,0.42758620689655175,86.0,BEHÖRDE,0,2.9,InDomain,v5,Large,,28
0.4406779661016949,0.3611111111111111,0.3969465648854962,72.0,BEHÖRDE,0,3.0,InDomain,v5,Large,,29
0.5932203389830508,0.44871794871794873,0.5109489051094891,78.0,BEHÖRDE,0,3.1,InDomain,v5,Large,,30
0.559322033898305,0.4177215189873418,0.4782608695652174,79.0,BEHÖRDE,0,3.2,InDomain,v5,Large,,31
0.6101694915254238,0.4675324675324675,0.5294117647058822,77.0,BEHÖRDE,0,3.3,InDomain,v5,Large,,32
0.4576271186440678,0.40298507462686567,0.4285714285714286,67.0,BEHÖRDE,0,3.4,InDomain,v5,Large,,33
0.6101694915254238,0.4675324675324675,0.5294117647058822,77.0,BEHÖRDE,0,3.5,InDomain,v5,Large,,34
0.6440677966101694,0.42696629213483145,0.5135135135135135,89.0,BEHÖRDE,0,3.6,InDomain,v5,Large,,35
0.5084745762711864,0.4411764705882353,0.47244094488188976,68.0,BEHÖRDE,0,3.7,InDomain,v5,Large,,36
0.6440677966101694,0.48717948717948717,0.5547445255474452,78.0,BEHÖRDE,0,3.8,InDomain,v5,Large,,37
0.5932203389830508,0.546875,0.5691056910569106,64.0,BEHÖRDE,0,3.9,InDomain,v5,Large,,38
0.6440677966101694,0.4523809523809524,0.5314685314685315,84.0,BEHÖRDE,0,4.0,InDomain,v5,Large,,39
