precision,recall,f1,number,category,fold,epoch,label_type,data_sample,model_type,accuracy,steps
0.0,0.0,0.0,8.0,BEHÖRDE,0,0.1,OutDomain,v5,Large,,0
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.2,OutDomain,v5,Large,,1
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.3,OutDomain,v5,Large,,2
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.4,OutDomain,v5,Large,,3
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.5,OutDomain,v5,Large,,4
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.6,OutDomain,v5,Large,,5
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.7,OutDomain,v5,Large,,6
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.8,OutDomain,v5,Large,,7
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.9,OutDomain,v5,Large,,8
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.0,OutDomain,v5,Large,,9
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.1,OutDomain,v5,Large,,10
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.2,OutDomain,v5,Large,,11
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.3,OutDomain,v5,Large,,12
0.0,0.0,0.0,13.0,BEHÖRDE,0,1.4,OutDomain,v5,Large,,13
0.0,0.0,0.0,9.0,BEHÖRDE,0,1.5,OutDomain,v5,Large,,14
0.014492753623188406,0.16666666666666666,0.026666666666666665,6.0,BEHÖRDE,0,1.6,OutDomain,v5,Large,,15
0.07246376811594203,0.2,0.10638297872340427,25.0,BEHÖRDE,0,1.7,OutDomain,v5,Large,,16
0.043478260869565216,0.13636363636363635,0.06593406593406594,22.0,BEHÖRDE,0,1.8,OutDomain,v5,Large,,17
0.014492753623188406,0.1,0.02531645569620253,10.0,BEHÖRDE,0,1.9,OutDomain,v5,Large,,18
0.0,0.0,0.0,4.0,BEHÖRDE,0,2.0,OutDomain,v5,Large,,19
0.028985507246376812,0.08695652173913043,0.043478260869565216,23.0,BEHÖRDE,0,2.1,OutDomain,v5,Large,,20
0.028985507246376812,0.13333333333333333,0.04761904761904762,15.0,BEHÖRDE,0,2.2,OutDomain,v5,Large,,21
0.11594202898550725,0.23529411764705882,0.1553398058252427,34.0,BEHÖRDE,0,2.3,OutDomain,v5,Large,,22
0.043478260869565216,0.14285714285714285,0.06666666666666667,21.0,BEHÖRDE,0,2.4,OutDomain,v5,Large,,23
0.014492753623188406,0.08333333333333333,0.02469135802469136,12.0,BEHÖRDE,0,2.5,OutDomain,v5,Large,,24
0.014492753623188406,0.08333333333333333,0.02469135802469136,12.0,BEHÖRDE,0,2.6,OutDomain,v5,Large,,25
0.028985507246376812,0.13333333333333333,0.04761904761904762,15.0,BEHÖRDE,0,2.7,OutDomain,v5,Large,,26
0.08695652173913043,0.2727272727272727,0.13186813186813187,22.0,BEHÖRDE,0,2.8,OutDomain,v5,Large,,27
0.11594202898550725,0.22857142857142856,0.15384615384615385,35.0,BEHÖRDE,0,2.9,OutDomain,v5,Large,,28
0.08695652173913043,0.20689655172413793,0.12244897959183672,29.0,BEHÖRDE,0,3.0,OutDomain,v5,Large,,29
0.14492753623188406,0.30303030303030304,0.196078431372549,33.0,BEHÖRDE,0,3.1,OutDomain,v5,Large,,30
0.11594202898550725,0.24242424242424243,0.1568627450980392,33.0,BEHÖRDE,0,3.2,OutDomain,v5,Large,,31
0.14492753623188406,0.2857142857142857,0.19230769230769232,35.0,BEHÖRDE,0,3.3,OutDomain,v5,Large,,32
0.057971014492753624,0.2,0.0898876404494382,20.0,BEHÖRDE,0,3.4,OutDomain,v5,Large,,33
0.14492753623188406,0.3125,0.19801980198019803,32.0,BEHÖRDE,0,3.5,OutDomain,v5,Large,,34
0.2028985507246377,0.30434782608695654,0.24347826086956523,46.0,BEHÖRDE,0,3.6,OutDomain,v5,Large,,35
0.08695652173913043,0.2857142857142857,0.13333333333333333,21.0,BEHÖRDE,0,3.7,OutDomain,v5,Large,,36
0.14492753623188406,0.3125,0.19801980198019803,32.0,BEHÖRDE,0,3.8,OutDomain,v5,Large,,37
0.043478260869565216,0.21428571428571427,0.07228915662650602,14.0,BEHÖRDE,0,3.9,OutDomain,v5,Large,,38
0.10144927536231885,0.2692307692307692,0.1473684210526316,26.0,BEHÖRDE,0,4.0,OutDomain,v5,Large,,39
0.21739130434782608,0.28846153846153844,0.24793388429752064,52.0,BEHÖRDE,0,4.1,OutDomain,v5,Large,,40
0.043478260869565216,0.14285714285714285,0.06666666666666667,21.0,BEHÖRDE,0,4.2,OutDomain,v5,Large,,41
0.07246376811594203,0.21739130434782608,0.10869565217391303,23.0,BEHÖRDE,0,4.3,OutDomain,v5,Large,,42
0.043478260869565216,0.14285714285714285,0.06666666666666667,21.0,BEHÖRDE,0,4.4,OutDomain,v5,Large,,43
0.08695652173913043,0.20689655172413793,0.12244897959183672,29.0,BEHÖRDE,0,4.5,OutDomain,v5,Large,,44
0.18840579710144928,0.24528301886792453,0.21311475409836067,53.0,BEHÖRDE,0,4.6,OutDomain,v5,Large,,45
0.13043478260869565,0.19148936170212766,0.15517241379310345,47.0,BEHÖRDE,0,4.7,OutDomain,v5,Large,,46
0.15942028985507245,0.3793103448275862,0.22448979591836737,29.0,BEHÖRDE,0,4.8,OutDomain,v5,Large,,47
0.17391304347826086,0.42857142857142855,0.24742268041237112,28.0,BEHÖRDE,0,4.9,OutDomain,v5,Large,,48
0.13043478260869565,0.3333333333333333,0.18750000000000003,27.0,BEHÖRDE,0,5.0,OutDomain,v5,Large,,49
0.18840579710144928,0.34210526315789475,0.24299065420560748,38.0,BEHÖRDE,0,5.1,OutDomain,v5,Large,,50
0.08695652173913043,0.25,0.12903225806451613,24.0,BEHÖRDE,0,5.2,OutDomain,v5,Large,,51
0.11594202898550725,0.2962962962962963,0.16666666666666666,27.0,BEHÖRDE,0,5.3,OutDomain,v5,Large,,52
0.11594202898550725,0.26666666666666666,0.1616161616161616,30.0,BEHÖRDE,0,5.4,OutDomain,v5,Large,,53
0.2028985507246377,0.34146341463414637,0.2545454545454545,41.0,BEHÖRDE,0,5.5,OutDomain,v5,Large,,54
0.2318840579710145,0.38095238095238093,0.2882882882882883,42.0,BEHÖRDE,0,5.6,OutDomain,v5,Large,,55
0.17391304347826086,0.35294117647058826,0.2330097087378641,34.0,BEHÖRDE,0,5.7,OutDomain,v5,Large,,56
0.14492753623188406,0.35714285714285715,0.20618556701030927,28.0,BEHÖRDE,0,5.8,OutDomain,v5,Large,,57
0.13043478260869565,0.36,0.19148936170212763,25.0,BEHÖRDE,0,5.9,OutDomain,v5,Large,,58
0.18840579710144928,0.3939393939393939,0.2549019607843137,33.0,BEHÖRDE,0,6.0,OutDomain,v5,Large,,59
0.3333333333333333,0.4339622641509434,0.3770491803278688,53.0,BEHÖRDE,0,6.1,OutDomain,v5,Large,,60
0.14492753623188406,0.35714285714285715,0.20618556701030927,28.0,BEHÖRDE,0,6.2,OutDomain,v5,Large,,61
0.21739130434782608,0.3488372093023256,0.26785714285714285,43.0,BEHÖRDE,0,6.3,OutDomain,v5,Large,,62
0.08695652173913043,0.2222222222222222,0.125,27.0,BEHÖRDE,0,6.4,OutDomain,v5,Large,,63
