Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
English,Base,6274,20,68,124,200,0.6279683377308707,0.54337899543379,0.74375,0.6875,0.0,0.2222222222222222,0.5,0.6216216216216216
English,Base,6274,30,68,103,300,0.663129973474801,0.576036866359447,0.78125,0.7096774193548387,0.0,0.0,0.6666666666666666,0.6608695652173913
English,Base,6274,40,68,238,400,0.6966292134831462,0.6326530612244898,0.775,0.7457627118644068,0.0,0.0,0.6666666666666666,0.6944444444444445
English,Base,6274,50,68,474,500,0.7005649717514124,0.6391752577319587,0.775,0.7377049180327869,0.0,0.0,0.6666666666666666,0.7047619047619047
English,Base,6274,60,68,452,600,0.7565982404692081,0.712707182320442,0.80625,0.7826086956521738,0.0,0.25,0.5333333333333333,0.7783251231527093
English,Base,6274,70,68,399,700,0.7657142857142857,0.7052631578947368,0.8375,0.7603305785123966,0.0,0.0,0.6666666666666666,0.8019323671497585
English,Base,6274,80,68,683,800,0.7679083094555873,0.708994708994709,0.8375,0.7666666666666666,0.0,0.28571428571428575,0.6666666666666666,0.7922705314009661
English,Base,6274,90,68,559,900,0.7894736842105263,0.7417582417582418,0.84375,0.7586206896551724,0.0,0.28571428571428575,0.823529411764706,0.8217821782178217
English,Base,6274,100,68,636,1000,0.7633136094674556,0.7247191011235955,0.80625,0.7478260869565218,0.0,0.28571428571428575,0.5714285714285715,0.801980198019802
English,Base,6274,110,68,1063,1100,0.7803468208092486,0.7258064516129032,0.84375,0.7586206896551724,0.0,0.28571428571428575,0.875,0.8019323671497585
English,Base,6274,120,68,1153,1200,0.7823529411764707,0.7388888888888889,0.83125,0.7927927927927929,0.0,0.28571428571428575,0.875,0.7864077669902914
English,Base,6274,130,68,665,1300,0.788235294117647,0.7444444444444445,0.8375,0.7627118644067796,0.0,0.28571428571428575,0.875,0.8140703517587939
English,Base,6274,140,68,1034,1400,0.7908309455587393,0.7301587301587301,0.8625,0.7758620689655172,0.0,0.28571428571428575,0.7999999999999999,0.8151658767772512
