Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
BEHÖRDE,5248,20,16,7,1.4375,English,Large,0.6037735849056605
JOURNALIST,5248,20,0,0,0.0,English,Large,0.0
MEDIEN,5248,20,0,0,0.0,English,Large,0.0
PARTEI,5248,20,2,2,1.0,English,Large,0.7272727272727272
POLITIKER,5248,20,48,27,1.4166666666666667,English,Large,0.8771929824561403
BEHÖRDE,5248,30,33,17,1.9393939393939394,English,Large,0.5517241379310345
JOURNALIST,5248,30,0,0,0.0,English,Large,0.0
MEDIEN,5248,30,0,0,0.0,English,Large,0.0
PARTEI,5248,30,2,2,1.0,English,Large,0.8000000000000002
POLITIKER,5248,30,59,35,1.4745762711864407,English,Large,0.9176470588235294
BEHÖRDE,5248,40,39,18,1.8205128205128205,English,Large,0.6428571428571429
JOURNALIST,5248,40,0,0,0.0,English,Large,0.0
MEDIEN,5248,40,0,0,0.0,English,Large,0.5
PARTEI,5248,40,5,4,1.0,English,Large,0.8571428571428572
POLITIKER,5248,40,73,43,1.4657534246575343,English,Large,0.927710843373494
BEHÖRDE,5248,50,44,19,1.8181818181818181,English,Large,0.6923076923076923
JOURNALIST,5248,50,0,0,0.0,English,Large,0.0
MEDIEN,5248,50,0,0,0.0,English,Large,0.5
PARTEI,5248,50,9,6,1.1111111111111112,English,Large,0.761904761904762
POLITIKER,5248,50,76,43,1.4473684210526316,English,Large,0.8786127167630058
BEHÖRDE,5248,60,49,19,1.7551020408163265,English,Large,0.631578947368421
JOURNALIST,5248,60,0,0,0.0,English,Large,0.0
MEDIEN,5248,60,0,0,0.0,English,Large,0.5
PARTEI,5248,60,13,9,1.0769230769230769,English,Large,0.8571428571428572
POLITIKER,5248,60,101,50,1.4554455445544554,English,Large,0.8915662650602411
BEHÖRDE,5248,70,60,25,1.8,English,Large,0.6923076923076923
JOURNALIST,5248,70,0,0,0.0,English,Large,0.0
MEDIEN,5248,70,0,0,0.0,English,Large,0.5
PARTEI,5248,70,23,14,1.3043478260869565,English,Large,0.8181818181818182
POLITIKER,5248,70,105,51,1.457142857142857,English,Large,0.8674698795180722
BEHÖRDE,5248,80,64,26,1.828125,English,Large,0.6666666666666667
JOURNALIST,5248,80,0,0,0.0,English,Large,0.0
MEDIEN,5248,80,0,0,0.0,English,Large,0.5
PARTEI,5248,80,23,14,1.3043478260869565,English,Large,0.7272727272727272
POLITIKER,5248,80,112,56,1.4464285714285714,English,Large,0.8690476190476191
BEHÖRDE,5248,90,67,26,1.8059701492537314,English,Large,0.6792452830188679
JOURNALIST,5248,90,0,0,0.0,English,Large,0.0
MEDIEN,5248,90,0,0,0.0,English,Large,0.5
PARTEI,5248,90,24,15,1.2916666666666667,English,Large,0.8181818181818182
POLITIKER,5248,90,136,67,1.4926470588235294,English,Large,0.8522727272727273
BEHÖRDE,5248,100,72,29,1.7916666666666667,English,Large,0.6666666666666667
JOURNALIST,5248,100,0,0,0.0,English,Large,0.0
MEDIEN,5248,100,0,0,0.0,English,Large,0.5
PARTEI,5248,100,26,15,1.3076923076923077,English,Large,0.761904761904762
POLITIKER,5248,100,150,71,1.52,English,Large,0.8654970760233917
BEHÖRDE,5248,110,79,31,1.7848101265822784,English,Large,0.689655172413793
JOURNALIST,5248,110,0,0,0.0,English,Large,0.0
MEDIEN,5248,110,0,0,0.0,English,Large,0.5
PARTEI,5248,110,28,15,1.4285714285714286,English,Large,0.8181818181818182
POLITIKER,5248,110,162,77,1.5246913580246915,English,Large,0.8809523809523809
BEHÖRDE,5248,120,84,31,1.7380952380952381,English,Large,0.6545454545454547
JOURNALIST,5248,120,0,0,0.0,English,Large,0.0
MEDIEN,5248,120,0,0,0.0,English,Large,0.5
PARTEI,5248,120,29,15,1.4137931034482758,English,Large,0.8571428571428572
POLITIKER,5248,120,169,79,1.5266272189349113,English,Large,0.8735632183908046
BEHÖRDE,5248,130,92,34,1.7282608695652173,English,Large,0.7037037037037037
JOURNALIST,5248,130,0,0,0.0,English,Large,0.0
MEDIEN,5248,130,0,0,0.0,English,Large,0.5
PARTEI,5248,130,29,15,1.4137931034482758,English,Large,0.8000000000000002
POLITIKER,5248,130,175,81,1.5142857142857142,English,Large,0.8994082840236687
BEHÖRDE,5248,140,100,37,1.71,English,Large,0.7169811320754716
JOURNALIST,5248,140,0,0,0.0,English,Large,0.0
MEDIEN,5248,140,0,0,0.0,English,Large,0.5
PARTEI,5248,140,31,16,1.3870967741935485,English,Large,0.8000000000000002
POLITIKER,5248,140,191,90,1.5340314136125655,English,Large,0.8799999999999999
BEHÖRDE,5248,150,103,37,1.6990291262135921,English,Large,0.6923076923076923
JOURNALIST,5248,150,0,0,0.0,English,Large,0.0
MEDIEN,5248,150,0,0,0.0,English,Large,0.5
PARTEI,5248,150,31,16,1.3870967741935485,English,Large,0.8000000000000002
POLITIKER,5248,150,205,92,1.5170731707317073,English,Large,0.8771929824561403
BEHÖRDE,5248,157,107,37,1.6728971962616823,English,Large,0.68
JOURNALIST,5248,157,0,0,0.0,English,Large,0.0
MEDIEN,5248,157,1,1,1.0,English,Large,0.5
PARTEI,5248,157,31,16,1.3870967741935485,English,Large,0.6363636363636365
POLITIKER,5248,157,215,95,1.5069767441860464,English,Large,0.9080459770114944
BEHÖRDE,6274,20,10,7,1.1,English,Large,0.6554621848739495
JOURNALIST,6274,20,0,0,0.0,English,Large,0.0
MEDIEN,6274,20,0,0,0.0,English,Large,0.2857142857142857
PARTEI,6274,20,3,3,1.3333333333333333,English,Large,0.6666666666666666
POLITIKER,6274,20,19,14,1.631578947368421,English,Large,0.6829268292682927
BEHÖRDE,6274,30,15,9,1.3333333333333333,English,Large,0.6776859504132232
JOURNALIST,6274,30,0,0,0.0,English,Large,0.0
MEDIEN,6274,30,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,30,3,3,1.3333333333333333,English,Large,0.6666666666666666
POLITIKER,6274,30,32,22,1.6875,English,Large,0.7109004739336494
BEHÖRDE,6274,40,20,12,1.5,English,Large,0.6991869918699187
