Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
Spanish,Large,6274,20,104,115,200,0.6762589928057554,0.6482758620689655,0.706766917293233,0.53125,1.0,0.6285714285714286,0.7422680412371134,0.725
Spanish,Large,6274,30,104,174,300,0.6981818181818181,0.676056338028169,0.7218045112781954,0.5454545454545454,1.0,0.5714285714285714,0.7647058823529412,0.7654320987654322
Spanish,Large,6274,40,104,370,400,0.7463768115942029,0.7202797202797203,0.7744360902255639,0.6451612903225806,1.0,0.6285714285714286,0.8085106382978724,0.7951807228915662
Spanish,Large,6274,50,104,401,500,0.7615658362989324,0.722972972972973,0.8045112781954887,0.7076923076923075,1.0,0.6285714285714286,0.7916666666666666,0.8192771084337349
Spanish,Large,6274,60,104,517,600,0.7508771929824563,0.7039473684210527,0.8045112781954887,0.6666666666666667,0.6666666666666666,0.5945945945945945,0.8210526315789475,0.8095238095238095
Spanish,Large,6274,70,104,624,700,0.7793103448275863,0.7197452229299363,0.849624060150376,0.6567164179104477,1.0,0.7027027027027029,0.845360824742268,0.8275862068965517
Spanish,Large,6274,80,104,288,800,0.7915194346289753,0.7466666666666667,0.8421052631578947,0.634920634920635,1.0,0.7368421052631579,0.8631578947368421,0.8470588235294118
Spanish,Large,6274,90,104,895,900,0.7862068965517242,0.7261146496815286,0.8571428571428571,0.7058823529411764,0.0,0.717948717948718,0.845360824742268,0.8333333333333333
Spanish,Large,6274,100,104,685,1000,0.7902097902097903,0.738562091503268,0.849624060150376,0.6666666666666667,1.0,0.6976744186046512,0.8695652173913043,0.8433734939759037
Spanish,Large,6274,110,104,681,1100,0.8013937282229966,0.7467532467532467,0.8646616541353384,0.7164179104477612,0.0,0.7499999999999999,0.8421052631578948,0.8571428571428571
Spanish,Large,6274,120,104,1143,1200,0.7999999999999999,0.7283950617283951,0.8872180451127819,0.6956521739130435,0.0,0.761904761904762,0.8571428571428571,0.8470588235294118
Spanish,Large,6274,130,104,1233,1300,0.8028169014084506,0.7549668874172185,0.8571428571428571,0.6440677966101694,0.0,0.9090909090909091,0.8367346938775511,0.8292682926829267
Spanish,Large,6274,140,104,721,1400,0.8070175438596491,0.756578947368421,0.8646616541353384,0.6666666666666665,0.0,0.8181818181818182,0.8723404255319148,0.8433734939759037
Spanish,Large,6274,150,104,703,1500,0.8247422680412371,0.759493670886076,0.9022556390977443,0.6956521739130435,0.0,0.9545454545454546,0.8387096774193548,0.8571428571428571
Spanish,Large,6274,160,104,914,1600,0.8191126279863481,0.75,0.9022556390977443,0.676470588235294,0.0,0.9545454545454546,0.8297872340425532,0.8604651162790696
Spanish,Large,6274,170,104,970,1700,0.8111888111888111,0.7581699346405228,0.8721804511278195,0.6666666666666667,0.0,0.8837209302325582,0.8705882352941177,0.8409090909090908
Spanish,Large,6274,180,104,1350,1800,0.8122866894197952,0.74375,0.8947368421052632,0.7142857142857143,0.0,0.9333333333333332,0.8131868131868132,0.8372093023255814
Spanish,Large,6274,190,104,794,1900,0.8096885813148789,0.75,0.8796992481203008,0.7042253521126761,0.0,0.8,0.8478260869565216,0.875
Spanish,Large,6274,200,104,1166,2000,0.823943661971831,0.7748344370860927,0.8796992481203008,0.7272727272727273,0.0,0.888888888888889,0.8222222222222222,0.878048780487805
Spanish,Large,6274,210,104,897,2100,0.8345323741007195,0.8,0.8721804511278195,0.7164179104477612,0.0,0.7906976744186046,0.896551724137931,0.9
Spanish,Large,6274,220,104,1027,2200,0.8243727598566307,0.7876712328767124,0.8646616541353384,0.746268656716418,0.0,0.8372093023255814,0.8705882352941177,0.8433734939759037
Spanish,Large,6274,230,104,1100,2300,0.8344827586206898,0.7707006369426752,0.9097744360902256,0.742857142857143,0.0,0.8636363636363636,0.8791208791208791,0.8571428571428571
Spanish,Large,6274,240,104,1521,2400,0.8309859154929577,0.7814569536423841,0.8872180451127819,0.7142857142857143,0.0,0.8636363636363636,0.8705882352941177,0.8809523809523809
Spanish,Large,6274,241,104,1403,2410,0.823943661971831,0.7748344370860927,0.8796992481203008,0.7647058823529412,0.0,0.7441860465116279,0.8636363636363636,0.8809523809523809
Spanish,Large,7317,20,104,176,200,0.6586345381526104,0.6307692307692307,0.6890756302521008,0.4324324324324324,1.0,0.4615384615384615,0.8059701492537314,0.7472527472527473
Spanish,Large,7317,30,104,81,300,0.691358024691358,0.6774193548387096,0.7058823529411765,0.4324324324324324,1.0,0.7692307692307692,0.8059701492537314,0.7999999999999999
Spanish,Large,7317,40,104,105,400,0.6796875,0.635036496350365,0.7310924369747899,0.48,1.0,0.7692307692307692,0.7647058823529412,0.7500000000000001
Spanish,Large,7317,50,104,423,500,0.7142857142857141,0.6766917293233082,0.7563025210084033,0.5569620253164557,1.0,0.5,0.8358208955223881,0.7777777777777778
Spanish,Large,7317,60,104,513,600,0.7413127413127413,0.6857142857142857,0.8067226890756303,0.65,0.8,0.7142857142857143,0.7941176470588235,0.7826086956521738
Spanish,Large,7317,70,104,218,700,0.71875,0.6715328467153284,0.773109243697479,0.6216216216216217,0.8,0.5333333333333333,0.787878787878788,0.7708333333333333
Spanish,Large,7317,80,104,258,800,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.6585365853658537,1.0,0.4615384615384615,0.8235294117647058,0.7676767676767676
Spanish,Large,7317,90,104,853,900,0.7619047619047619,0.7218045112781954,0.8067226890756303,0.5757575757575757,1.0,0.9333333333333333,0.8571428571428571,0.7835051546391751
Spanish,Large,7317,100,104,527,1000,0.7626459143968871,0.7101449275362319,0.8235294117647058,0.6753246753246752,1.0,0.4615384615384615,0.8059701492537314,0.8333333333333333
Spanish,Large,7317,110,104,707,1100,0.7799227799227799,0.7214285714285714,0.8487394957983193,0.7105263157894737,1.0,0.6153846153846153,0.7887323943661971,0.8421052631578948
Spanish,Large,7317,120,104,435,1200,0.754863813229572,0.7028985507246377,0.8151260504201681,0.6506024096385543,1.0,0.6153846153846153,0.8529411764705882,0.7865168539325843
Spanish,Large,7317,130,104,1244,1300,0.7846153846153846,0.723404255319149,0.8571428571428571,0.725,1.0,0.7692307692307692,0.8529411764705882,0.7789473684210527
Spanish,Large,7317,140,104,526,1400,0.7709923664122137,0.7062937062937062,0.8487394957983193,0.6506024096385543,1.0,0.7142857142857143,0.8484848484848485,0.8210526315789474
Spanish,Large,7317,150,104,484,1500,0.790513833992095,0.746268656716418,0.8403361344537815,0.7435897435897436,1.0,0.6666666666666666,0.8695652173913043,0.7777777777777778
Spanish,Large,7317,160,104,1254,1600,0.7722007722007723,0.7142857142857143,0.8403361344537815,0.6585365853658537,1.0,0.42857142857142855,0.9117647058823528,0.8131868131868133
Spanish,Large,7317,170,104,665,1700,0.7575757575757576,0.6896551724137931,0.8403361344537815,0.6666666666666665,1.0,0.8571428571428571,0.8115942028985507,0.7777777777777778
