Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
BEHÖRDE,5248,20,8,7,2.75,Spanish,Base,0.6666666666666667
JOURNALIST,5248,20,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,20,1,1,2.0,Spanish,Base,0.8636363636363636
PARTEI,5248,20,6,6,1.5,Spanish,Base,0.7428571428571429
POLITIKER,5248,20,17,17,2.823529411764706,Spanish,Base,0.7199999999999999
BEHÖRDE,5248,30,13,9,2.3076923076923075,Spanish,Base,0.6495726495726495
JOURNALIST,5248,30,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,30,1,1,2.0,Spanish,Base,0.888888888888889
PARTEI,5248,30,6,6,1.5,Spanish,Base,0.7142857142857142
POLITIKER,5248,30,20,20,2.75,Spanish,Base,0.7560975609756098
BEHÖRDE,5248,40,18,12,2.111111111111111,Spanish,Base,0.6611570247933886
JOURNALIST,5248,40,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,40,1,1,2.0,Spanish,Base,0.9333333333333332
PARTEI,5248,40,9,6,1.3333333333333333,Spanish,Base,0.7428571428571429
POLITIKER,5248,40,20,20,2.75,Spanish,Base,0.7058823529411764
BEHÖRDE,5248,50,22,16,2.5454545454545454,Spanish,Base,0.6324786324786325
JOURNALIST,5248,50,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,50,1,1,2.0,Spanish,Base,0.8444444444444444
PARTEI,5248,50,13,7,1.2307692307692308,Spanish,Base,0.7536231884057971
POLITIKER,5248,50,22,22,2.6363636363636362,Spanish,Base,0.7499999999999999
BEHÖRDE,5248,60,23,16,2.4782608695652173,Spanish,Base,0.6885245901639344
JOURNALIST,5248,60,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,60,1,1,2.0,Spanish,Base,0.888888888888889
PARTEI,5248,60,13,7,1.2307692307692308,Spanish,Base,0.7605633802816901
POLITIKER,5248,60,26,24,2.3846153846153846,Spanish,Base,0.674698795180723
BEHÖRDE,5248,70,28,20,2.4285714285714284,Spanish,Base,0.7179487179487181
JOURNALIST,5248,70,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,70,1,1,2.0,Spanish,Base,0.8095238095238095
PARTEI,5248,70,16,8,1.25,Spanish,Base,0.746268656716418
POLITIKER,5248,70,26,24,2.3846153846153846,Spanish,Base,0.7272727272727273
BEHÖRDE,5248,80,30,20,2.3666666666666667,Spanish,Base,0.6782608695652174
JOURNALIST,5248,80,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,80,1,1,2.0,Spanish,Base,0.909090909090909
PARTEI,5248,80,17,8,1.2352941176470589,Spanish,Base,0.7605633802816901
POLITIKER,5248,80,31,27,2.2903225806451615,Spanish,Base,0.725
BEHÖRDE,5248,90,30,20,2.3666666666666667,Spanish,Base,0.7241379310344828
JOURNALIST,5248,90,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,90,2,2,2.0,Spanish,Base,0.909090909090909
PARTEI,5248,90,21,8,1.1904761904761905,Spanish,Base,0.7352941176470589
POLITIKER,5248,90,32,28,2.40625,Spanish,Base,0.6578947368421052
BEHÖRDE,5248,100,32,21,2.375,Spanish,Base,0.7008547008547008
JOURNALIST,5248,100,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,100,2,2,2.0,Spanish,Base,0.8292682926829269
PARTEI,5248,100,22,9,1.2272727272727273,Spanish,Base,0.8059701492537314
POLITIKER,5248,100,34,30,2.411764705882353,Spanish,Base,0.6666666666666666
BEHÖRDE,5248,110,38,24,2.526315789473684,Spanish,Base,0.6727272727272727
JOURNALIST,5248,110,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,110,2,2,2.0,Spanish,Base,0.7804878048780488
PARTEI,5248,110,30,14,1.3,Spanish,Base,0.875
POLITIKER,5248,110,39,34,2.3333333333333335,Spanish,Base,0.6842105263157895
BEHÖRDE,5248,120,41,24,2.4634146341463414,Spanish,Base,0.736842105263158
JOURNALIST,5248,120,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,120,3,3,2.0,Spanish,Base,0.8571428571428571
PARTEI,5248,120,38,20,1.6578947368421053,Spanish,Base,0.8955223880597014
POLITIKER,5248,120,44,37,2.3863636363636362,Spanish,Base,0.7160493827160495
BEHÖRDE,5248,130,43,26,2.4651162790697674,Spanish,Base,0.7339449541284404
JOURNALIST,5248,130,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,130,3,3,2.0,Spanish,Base,0.8372093023255814
PARTEI,5248,130,39,21,1.6666666666666667,Spanish,Base,0.875
POLITIKER,5248,130,48,40,2.3333333333333335,Spanish,Base,0.7341772151898733
BEHÖRDE,5248,140,48,28,2.5833333333333335,Spanish,Base,0.7586206896551725
JOURNALIST,5248,140,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,140,3,3,2.0,Spanish,Base,0.8636363636363636
PARTEI,5248,140,42,22,1.619047619047619,Spanish,Base,0.8484848484848486
POLITIKER,5248,140,51,43,2.3137254901960786,Spanish,Base,0.7654320987654322
BEHÖRDE,5248,150,49,28,2.5510204081632653,Spanish,Base,0.7692307692307693
JOURNALIST,5248,150,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,150,3,3,2.0,Spanish,Base,0.8571428571428571
PARTEI,5248,150,48,22,1.5416666666666667,Spanish,Base,0.8787878787878788
POLITIKER,5248,150,53,45,2.3207547169811322,Spanish,Base,0.7073170731707318
BEHÖRDE,5248,160,51,29,2.549019607843137,Spanish,Base,0.7543859649122807
JOURNALIST,5248,160,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,160,9,9,1.6666666666666667,Spanish,Base,0.909090909090909
PARTEI,5248,160,51,24,1.5686274509803921,Spanish,Base,0.8823529411764706
