Data,Model,Quantization,Fold,Epoch,Step,F1,Recall,Precision
InDomain,Base,fp32,0,0,4,0.656896551724138,0.639261744966443,0.675531914893617
OutDomain,Base,fp32,0,0,4,0.6533546325878594,0.696763202725724,0.6150375939849624
Twitter,Base,fp32,0,0,4,0.7628865979381442,0.7900355871886121,0.7375415282392026
English,Base,fp32,0,0,4,0.5295454545454545,0.5738916256157636,0.49156118143459915
Spanish,Base,fp32,0,0,4,0.544392523364486,0.5469483568075117,0.541860465116279
InDomain,Base,fp16,0,0,4,0.6574633304572908,0.6403361344537815,0.675531914893617
OutDomain,Base,fp16,0,0,4,0.6533546325878594,0.696763202725724,0.6150375939849624
Twitter,Base,fp16,0,0,4,0.7628865979381442,0.7900355871886121,0.7375415282392026
English,Base,fp16,0,0,4,0.5295454545454545,0.5738916256157636,0.49156118143459915
Spanish,Base,fp16,0,0,4,0.5450292397660819,0.548235294117647,0.541860465116279
InDomain,Base,int8,0,0,4,0.6513213981244672,0.6272577996715928,0.6773049645390071
OutDomain,Base,int8,0,0,4,0.6502775574940524,0.6879194630872483,0.6165413533834586
Twitter,Base,int8,0,0,4,0.7716262975778547,0.8050541516245487,0.7408637873754153
English,Base,int8,0,0,4,0.5292792792792792,0.5676328502415459,0.4957805907172996
Spanish,Base,int8,0,0,4,0.5441860465116279,0.5441860465116279,0.5441860465116279
InDomain,Base,int4,0,0,4,0.6031195840554592,0.5898305084745763,0.6170212765957447
OutDomain,Base,int4,0,0,4,0.6286173633440515,0.6753022452504318,0.58796992481203
Twitter,Base,int4,0,0,4,0.7525773195876289,0.7793594306049823,0.7275747508305648
English,Base,int4,0,0,4,0.47929736511919707,0.5913312693498453,0.4029535864978903
Spanish,Base,int4,0,0,4,0.4944375772558714,0.5277044854881267,0.46511627906976744
InDomain,Base,fp32,0,0,8,0.663844199830652,0.6353322528363047,0.6950354609929078
OutDomain,Base,fp32,0,0,8,0.6745283018867925,0.7067545304777595,0.6451127819548872
Twitter,Base,fp32,0,0,8,0.7633333333333333,0.7658862876254181,0.760797342192691
English,Base,fp32,0,0,8,0.5361512791991101,0.5670588235294117,0.5084388185654009
Spanish,Base,fp32,0,0,8,0.5770114942528736,0.5704545454545454,0.5837209302325581
InDomain,Base,fp16,0,0,8,0.6644067796610169,0.6363636363636364,0.6950354609929078
OutDomain,Base,fp16,0,0,8,0.6745283018867925,0.7067545304777595,0.6451127819548872
Twitter,Base,fp16,0,0,8,0.7633333333333333,0.7658862876254181,0.760797342192691
English,Base,fp16,0,0,8,0.5361512791991101,0.5670588235294117,0.5084388185654009
Spanish,Base,fp16,0,0,8,0.5770114942528736,0.5704545454545454,0.5837209302325581
InDomain,Base,int8,0,0,8,0.6644238856181666,0.632,0.700354609929078
OutDomain,Base,int8,0,0,8,0.6703039750584567,0.6957928802588996,0.6466165413533834
Twitter,Base,int8,0,0,8,0.762063227953411,0.7633333333333333,0.760797342192691
English,Base,int8,0,0,8,0.5458563535911601,0.5730858468677494,0.5210970464135021
Spanish,Base,int8,0,0,8,0.577319587628866,0.5688487584650113,0.586046511627907
InDomain,Base,int4,0,0,8,0.627986348122867,0.6052631578947368,0.6524822695035462
OutDomain,Base,int4,0,0,8,0.6455696202531646,0.6811352253756261,0.6135338345864662
Twitter,Base,int4,0,0,8,0.7209302325581395,0.7209302325581395,0.7209302325581395
English,Base,int4,0,0,8,0.4909310761789601,0.5750708215297451,0.4282700421940928
Spanish,Base,int4,0,0,8,0.5167464114832536,0.5320197044334976,0.5023255813953489
InDomain,Base,fp32,0,0,12,0.6688796680497926,0.6287051482059283,0.7145390070921985
OutDomain,Base,fp32,0,0,12,0.6789554531490016,0.6938775510204082,0.6646616541353384
Twitter,Base,fp32,0,0,12,0.7487844408427878,0.7310126582278481,0.7674418604651163
English,Base,fp32,0,0,12,0.5482456140350878,0.5707762557077626,0.5274261603375527
Spanish,Base,fp32,0,0,12,0.5866666666666667,0.5617021276595745,0.6139534883720931
InDomain,Base,fp16,0,0,12,0.6683250414593699,0.6277258566978193,0.7145390070921985
OutDomain,Base,fp16,0,0,12,0.6779400461183704,0.6933962264150944,0.6631578947368421
Twitter,Base,fp16,0,0,12,0.7487844408427878,0.7310126582278481,0.7674418604651163
English,Base,fp16,0,0,12,0.5482456140350878,0.5707762557077626,0.5274261603375527
Spanish,Base,fp16,0,0,12,0.5866666666666667,0.5617021276595745,0.6139534883720931
InDomain,Base,int8,0,0,12,0.6710853355426678,0.6298600311041991,0.7180851063829787
OutDomain,Base,int8,0,0,12,0.6803966437833714,0.6904024767801857,0.6706766917293233
Twitter,Base,int8,0,0,12,0.7524429967426711,0.7380191693290735,0.7674418604651163
English,Base,int8,0,0,12,0.548847420417124,0.5720823798627003,0.5274261603375527
Spanish,Base,int8,0,0,12,0.5793562708102108,0.554140127388535,0.6069767441860465
InDomain,Base,int4,0,0,12,0.6493723849372386,0.6148969889064976,0.6879432624113475
OutDomain,Base,int4,0,0,12,0.6522075910147173,0.6725239616613419,0.6330827067669172
Twitter,Base,int4,0,0,12,0.723127035830619,0.7092651757188498,0.7375415282392026
English,Base,int4,0,0,12,0.4988066825775656,0.5741758241758241,0.4409282700421941
Spanish,Base,int4,0,0,12,0.5416666666666666,0.5391705069124424,0.5441860465116279
InDomain,Base,fp32,0,0,16,0.6699266503667483,0.6199095022624435,0.7287234042553191
OutDomain,Base,fp32,0,0,16,0.6781695423855963,0.6766467065868264,0.6796992481203008
Twitter,Base,fp32,0,0,16,0.7488,0.7222222222222222,0.7774086378737541
English,Base,fp32,0,0,16,0.5561613958560524,0.5756207674943566,0.5379746835443038
Spanish,Base,fp32,0,0,16,0.5941240478781284,0.558282208588957,0.6348837209302326
InDomain,Base,fp16,0,0,16,0.6704730831973899,0.620845921450151,0.7287234042553191
OutDomain,Base,fp16,0,0,16,0.6771535580524346,0.6746268656716418,0.6796992481203008
Twitter,Base,fp16,0,0,16,0.7488,0.7222222222222222,0.7774086378737541
English,Base,fp16,0,0,16,0.5539803707742639,0.5733634311512416,0.5358649789029536
