Data,Model,Quantization,Fold,Epoch,Step,F1,Recall,Precision
InDomain,Base,fp32,0,12,28,0.8034042553191488,0.7725040916530278,0.8368794326241135
OutDomain,Base,fp32,0,12,28,0.7209838585703304,0.7374213836477987,0.7052631578947368
Twitter,Base,fp32,0,12,28,0.8041594454072791,0.8405797101449275,0.770764119601329
English,Base,fp32,0,12,28,0.5674091441969519,0.6385224274406333,0.510548523206751
Spanish,Base,fp32,0,12,28,0.5895522388059702,0.6336898395721925,0.5511627906976744
InDomain,Base,fp16,0,12,28,0.8047740835464621,0.7750410509031199,0.8368794326241135
OutDomain,Base,fp16,0,12,28,0.7209838585703304,0.7374213836477987,0.7052631578947368
Twitter,Base,fp16,0,12,28,0.8027681660899655,0.8375451263537906,0.770764119601329
English,Base,fp16,0,12,28,0.5674091441969519,0.6385224274406333,0.510548523206751
Spanish,Base,fp16,0,12,28,0.5902864259028642,0.6353887399463807,0.5511627906976744
InDomain,Base,int8,0,12,28,0.7996589940323955,0.7701149425287356,0.8315602836879432
OutDomain,Base,int8,0,12,28,0.7183422870299309,0.7335423197492164,0.7037593984962406
Twitter,Base,int8,0,12,28,0.8069565217391305,0.8467153284671532,0.770764119601329
English,Base,int8,0,12,28,0.5670945157526254,0.6344647519582245,0.5126582278481012
Spanish,Base,int8,0,12,28,0.5898389095415117,0.6312997347480106,0.5534883720930233
InDomain,Base,int4,0,12,28,0.7432550043516101,0.7299145299145299,0.7570921985815603
OutDomain,Base,int4,0,12,28,0.6845849802371543,0.7216666666666667,0.6511278195488722
Twitter,Base,int4,0,12,28,0.765008576329331,0.7907801418439716,0.7408637873754153
English,Base,int4,0,12,28,0.5222772277227724,0.6317365269461078,0.4451476793248945
Spanish,Base,int4,0,12,28,0.5374677002583979,0.6046511627906976,0.48372093023255813
,,,0,12,32,,,
,,,0,12,32,,,
,,,0,12,32,,,
,,,0,12,32,,,
,,,0,12,36,,,
,,,0,12,36,,,
,,,0,12,36,,,
,,,0,12,36,,,
,,,0,12,40,,,
,,,0,12,40,,,
,,,0,12,40,,,
,,,0,12,40,,,
,,,0,13,4,,,
,,,0,13,4,,,
,,,0,13,4,,,
,,,0,13,4,,,
,,,0,13,8,,,
,,,0,13,8,,,
,,,0,13,8,,,
,,,0,13,8,,,
,,,0,13,12,,,
,,,0,13,12,,,
,,,0,13,12,,,
,,,0,13,12,,,
,,,0,13,16,,,
,,,0,13,16,,,
,,,0,13,16,,,
,,,0,13,16,,,
,,,0,13,20,,,
,,,0,13,20,,,
,,,0,13,20,,,
,,,0,13,20,,,
,,,0,13,24,,,
,,,0,13,24,,,
,,,0,13,24,,,
,,,0,13,24,,,
,,,0,13,28,,,
,,,0,13,28,,,
,,,0,13,28,,,
,,,0,13,28,,,
,,,0,13,32,,,
,,,0,13,32,,,
,,,0,13,32,,,
,,,0,13,32,,,
,,,0,13,36,,,
,,,0,13,36,,,
,,,0,13,36,,,
,,,0,13,36,,,
,,,0,13,40,,,
,,,0,13,40,,,
,,,0,13,40,,,
,,,0,13,40,,,
,,,0,14,4,,,
,,,0,14,4,,,
,,,0,14,4,,,
,,,0,14,4,,,
,,,0,14,8,,,
,,,0,14,8,,,
,,,0,14,8,,,
,,,0,14,8,,,
,,,0,14,12,,,
,,,0,14,12,,,
,,,0,14,12,,,
,,,0,14,12,,,
,,,0,14,16,,,
,,,0,14,16,,,
,,,0,14,16,,,
,,,0,14,16,,,
,,,0,14,20,,,
,,,0,14,20,,,
,,,0,14,20,,,
,,,0,14,20,,,
,,,0,14,24,,,
,,,0,14,24,,,
,,,0,14,24,,,
,,,0,14,24,,,
,,,0,14,28,,,
,,,0,14,28,,,
,,,0,14,28,,,
,,,0,14,28,,,
,,,0,14,32,,,
,,,0,14,32,,,
,,,0,14,32,,,
,,,0,14,32,,,
,,,0,14,36,,,
,,,0,14,36,,,
,,,0,14,36,,,
,,,0,14,36,,,
,,,0,14,40,,,
