Data,Model,Quantization,Fold,Epoch,Step,F1,Recall,Precision
InDomain,Large,fp32,0,0,4,0.6413793103448275,0.6241610738255033,0.6595744680851063
OutDomain,Large,fp32,0,0,4,0.6575781876503609,0.7044673539518901,0.6165413533834586
Twitter,Large,fp32,0,0,4,0.7607573149741825,0.7892857142857143,0.7342192691029901
English,Large,fp32,0,0,4,0.5156794425087108,0.5736434108527132,0.46835443037974683
Spanish,Large,fp32,0,0,4,0.5260663507109006,0.5362318840579711,0.5162790697674419
InDomain,Large,fp16,0,0,4,0.6413793103448275,0.6241610738255033,0.6595744680851063
OutDomain,Large,fp16,0,0,4,0.6581059390048154,0.7056798623063684,0.6165413533834586
Twitter,Large,fp16,0,0,4,0.7607573149741825,0.7892857142857143,0.7342192691029901
English,Large,fp16,0,0,4,0.5156794425087108,0.5736434108527132,0.46835443037974683
Spanish,Large,fp16,0,0,4,0.5290628706998814,0.5399515738498789,0.5186046511627908
InDomain,Large,int8,0,0,4,0.6437177280550774,0.6254180602006689,0.6631205673758865
OutDomain,Large,int8,0,0,4,0.6533864541832669,0.6949152542372882,0.6165413533834586
Twitter,Large,int8,0,0,4,0.770293609671848,0.802158273381295,0.7408637873754153
English,Large,int8,0,0,4,0.5300925925925927,0.5871794871794872,0.4831223628691983
Spanish,Large,int8,0,0,4,0.5276796230859835,0.5346062052505967,0.5209302325581395
InDomain,Large,int4,0,0,4,0.5991341991341991,0.5854483925549916,0.6134751773049646
OutDomain,Large,int4,0,0,4,0.6304700162074554,0.6836555360281195,0.5849624060150376
Twitter,Large,int4,0,0,4,0.7474048442906575,0.779783393501805,0.717607973421927
English,Large,int4,0,0,4,0.4779874213836478,0.5919003115264797,0.4008438818565401
Spanish,Large,int4,0,0,4,0.48110831234256923,0.5247252747252747,0.4441860465116279
InDomain,Large,fp32,0,0,8,0.6542056074766355,0.6280587275693311,0.6826241134751773
OutDomain,Large,fp32,0,0,8,0.6708760852407262,0.7059800664451827,0.6390977443609023
Twitter,Large,fp32,0,0,8,0.7567567567567568,0.7697594501718213,0.7441860465116279
English,Large,fp32,0,0,8,0.5198637911464244,0.5626535626535627,0.4831223628691983
Spanish,Large,fp32,0,0,8,0.5751479289940828,0.5855421686746988,0.5651162790697675
InDomain,Large,fp16,0,0,8,0.6542056074766355,0.6280587275693311,0.6826241134751773
OutDomain,Large,fp16,0,0,8,0.6708760852407262,0.7059800664451827,0.6390977443609023
Twitter,Large,fp16,0,0,8,0.7567567567567568,0.7697594501718213,0.7441860465116279
English,Large,fp16,0,0,8,0.5198637911464244,0.5626535626535627,0.4831223628691983
Spanish,Large,fp16,0,0,8,0.5721040189125295,0.5817307692307693,0.5627906976744186
InDomain,Large,int8,0,0,8,0.6604414261460101,0.6335504885993485,0.6897163120567376
OutDomain,Large,int8,0,0,8,0.6703296703296704,0.7011494252873564,0.6421052631578947
Twitter,Large,int8,0,0,8,0.764505119453925,0.7859649122807018,0.7441860465116279
English,Large,int8,0,0,8,0.5328798185941043,0.5759803921568627,0.4957805907172996
Spanish,Large,int8,0,0,8,0.5670588235294117,0.5738095238095238,0.5604651162790698
InDomain,Large,int4,0,0,8,0.6261762189905903,0.6049586776859505,0.648936170212766
OutDomain,Large,int4,0,0,8,0.6391096979332274,0.6779089376053963,0.6045112781954888
Twitter,Large,int4,0,0,8,0.7423728813559322,0.7577854671280276,0.7275747508305648
English,Large,int4,0,0,8,0.484029484029484,0.5794117647058824,0.41561181434599154
Spanish,Large,int4,0,0,8,0.49379652605459057,0.5292553191489362,0.4627906976744186
InDomain,Large,fp32,0,0,12,0.6683459277917715,0.6347687400318979,0.7056737588652482
OutDomain,Large,fp32,0,0,12,0.6765625000000001,0.7040650406504065,0.6511278195488722
Twitter,Large,fp32,0,0,12,0.7371900826446282,0.7335526315789473,0.7408637873754153
English,Large,fp32,0,0,12,0.5324232081911263,0.5777777777777777,0.4936708860759494
Spanish,Large,fp32,0,0,12,0.5754716981132075,0.583732057416268,0.5674418604651162
InDomain,Large,fp16,0,0,12,0.6694701429772918,0.6368,0.7056737588652482
OutDomain,Large,fp16,0,0,12,0.6739469578783153,0.700162074554295,0.649624060150376
Twitter,Large,fp16,0,0,12,0.740495867768595,0.7368421052631579,0.7441860465116279
English,Large,fp16,0,0,12,0.5330296127562641,0.5792079207920792,0.4936708860759494
Spanish,Large,fp16,0,0,12,0.5754716981132075,0.583732057416268,0.5674418604651162
InDomain,Large,int8,0,0,12,0.6705882352941177,0.6373801916932907,0.7074468085106383
OutDomain,Large,int8,0,0,12,0.6749418153607447,0.6971153846153846,0.6541353383458647
Twitter,Large,int8,0,0,12,0.743801652892562,0.7401315789473685,0.7475083056478405
English,Large,int8,0,0,12,0.5359179019384265,0.5831265508684863,0.4957805907172996
Spanish,Large,int8,0,0,12,0.5757931844888367,0.5819477434679335,0.5697674418604651
InDomain,Large,int4,0,0,12,0.641156462585034,0.6160130718954249,0.6684397163120568
OutDomain,Large,int4,0,0,12,0.6499215070643642,0.6798029556650246,0.6225563909774436
Twitter,Large,int4,0,0,12,0.7281879194630873,0.735593220338983,0.7209302325581395
English,Large,int4,0,0,12,0.4835164835164835,0.5739130434782609,0.4177215189873418
Spanish,Large,int4,0,0,12,0.5092707045735475,0.5435356200527705,0.4790697674418605
InDomain,Large,fp32,0,0,16,0.6739495798319327,0.6405750798722045,0.7109929078014184
OutDomain,Large,fp32,0,0,16,0.6862442040185472,0.7058823529411765,0.6676691729323309
Twitter,Large,fp32,0,0,16,0.7524752475247524,0.7475409836065574,0.7574750830564784
English,Large,fp32,0,0,16,0.5313568985176739,0.5781637717121588,0.49156118143459915
